race_id,horse_number,age,dhweight,disRoc,enterTimes,preOOF,pre2OOF,surface,weather,course,jEps,runningStyle,preLastPhase,distance,sex,popularity,odds,weight,eps,jwinper,owinper,twinper,winRun,order_of_finish
1,1,3.0,-2.0,0.333333333333333,2.0,10.0,10.0,芝,曇,右,228,NaN,43.5,2400,牡,10,106.8,522,0.0,0.08,0.08,0.08,0.0,7
1,2,3.0,0.0,,0.0,,,芝,曇,右,228,NaN,,2400,牡,7,43.9,534,,0.08,0.08,0.08,,11
1,3,3.0,0.0,0.0,1.0,2.0,,芝,曇,右,228,7.75,34.1,2400,牡,1,1.6,438,210.0,0.08,0.08,0.08,0.0,3
1,4,3.0,-8.0,0.230769230769231,4.0,3.0,4.0,芝,曇,右,228,3.5,36.0,2400,牡,2,3.6,464,129.25,0.08,0.08,0.08,0.0,1
1,5,3.0,0.0,0.548387096774194,2.0,3.0,8.0,芝,曇,右,228,-1.25,39.8,2400,牡,5,15.4,436,65.0,0.08,0.08,0.08,0.0,2
1,6,3.0,-4.0,0.142857142857143,4.0,5.0,10.0,芝,曇,右,228,2.0,36.5,2400,牡,6,31.9,454,41.0,0.08,0.08,0.08,0.0,4
1,7,3.0,-8.0,0.5,1.0,15.0,,芝,曇,右,228,-1.0,34.5,2400,牡,8,60.5,508,0.0,0.08,0.08,0.08,0.0,5
1,8,3.0,-4.0,0.2,1.0,16.0,,芝,曇,右,228,-1.0,37.1,2400,牝,11,169.1,432,0.0,0.08,0.08,0.08,0.0,9
1,9,3.0,-2.0,0.263157894736842,2.0,8.0,15.0,芝,曇,右,228,-0.375,35.4,2400,牡,9,69.5,454,0.0,0.08,0.08,0.08,0.0,8
1,10,3.0,2.0,0.2,1.0,6.0,,芝,曇,右,228,-2.75,35.2,2400,牝,4,14.0,456,0.0,0.08,0.08,0.08,0.0,12
1,11,3.0,-6.0,0.125,3.0,7.0,5.0,芝,曇,右,228,0.416666666666667,37.4,2400,牡,3,7.2,484,17.3333333333333,0.08,0.08,0.08,0.0,6
1,12,3.0,-10.0,0.263157894736842,3.0,14.0,12.0,芝,曇,右,228,1.25,40.6,2400,牡,12,276.4,510,0.0,0.08,0.08,0.08,0.0,10
2,1,9.0,-4.0,-0.039039039039039,1.0,10.0,,芝,晴,他,214,NaN,13.3,3200,牡,10,49.2,508,0.0,0.08,0.08,0.08,0.0,7
2,2,4.0,-10.0,0.0171646535282899,5.0,1.0,4.0,芝,晴,他,214,2.75,13.2,3200,牡,1,3.5,482,719.68,0.08,0.08,0.08,0.4,1
2,3,5.0,14.0,0.11368909512761,3.0,13.0,9.0,芝,晴,他,214,-3.5,39.3,3200,牡,11,98.1,476,0.0,0.08,0.08,0.08,0.0,11
2,4,5.0,6.0,-0.06158357771261,2.0,1.0,5.0,芝,晴,他,214,0.0,13.6,3200,セ,3,5.0,470,904.05,0.08,0.08,0.08,0.5,中
2,5,6.0,2.0,-0.0105132962275819,5.0,10.0,6.0,芝,晴,他,214,1.625,13.9,3200,牡,13,177.9,518,158.0,0.08,0.08,0.08,0.2,9
2,6,6.0,2.0,-0.0153846153846154,1.0,3.0,,芝,晴,他,214,1.0,13.0,3200,牡,5,6.2,466,737.1,0.08,0.08,0.08,0.0,3
2,7,7.0,-8.0,0.373390557939914,5.0,5.0,1.0,芝,晴,他,214,-0.375,13.2,3200,牡,4,5.6,452,185.0,0.08,0.08,0.08,0.2,6
2,8,6.0,8.0,0.163636363636364,1.0,11.0,,芝,晴,他,214,-3.0,13.2,3200,牡,14,291.6,478,0.0,0.08,0.08,0.08,0.0,中
2,9,5.0,0.0,0.367521367521367,4.0,10.0,1.0,芝,晴,他,214,-0.5,13.5,3200,牡,6,16.0,480,197.5,0.08,0.08,0.08,0.25,12
2,10,5.0,8.0,0.0468920392584515,3.0,8.0,12.0,芝,晴,他,214,0.0833333333333333,13.4,3200,牡,9,44.1,496,66.6666666666667,0.08,0.08,0.08,0.0,5
2,11,5.0,6.0,0.333333333333333,2.0,1.0,11.0,芝,晴,他,214,1.0,13.4,3200,牡,8,29.9,512,395.0,0.08,0.08,0.08,0.5,8
2,12,10.0,0.0,,0.0,,,芝,晴,他,214,NaN,,3200,牡,12,104.5,458,,0.08,0.08,0.08,,4
2,13,9.0,0.0,0.0884353741496599,3.0,1.0,4.0,芝,晴,他,214,0.0833333333333333,12.9,3200,セ,2,4.6,464,713.333333333333,0.08,0.08,0.08,0.333333333333333,2
2,14,7.0,-8.0,0.0369410239792612,5.0,6.0,6.0,芝,晴,他,214,-0.8,13.2,3200,セ,7,18.9,466,200.8,0.08,0.08,0.08,0.2,10
3,1,3.0,0.0,0.0769230769230769,2.0,4.0,5.0,ダ,晴,左,163,5.0,37.8,1400,牡,5,15.8,472,68.5,0.07,0.07,0.07,0.0,2
3,2,3.0,4.0,-0.0454545454545455,3.0,12.0,13.0,ダ,晴,左,163,-2.83333333333333,39.3,1400,牡,13,143.7,482,0.0,0.07,0.07,0.07,0.0,6
3,3,3.0,12.0,-0.222222222222222,1.0,14.0,,ダ,晴,左,163,-10.3333333333333,39.4,1400,牡,12,142.5,530,0.0,0.07,0.07,0.07,0.0,15
3,4,3.0,14.0,-0.0869565217391304,3.0,3.0,2.0,ダ,晴,左,163,0.166666666666667,37.8,1400,牝,1,2.2,510,146.666666666667,0.07,0.07,0.07,0.0,3
3,5,3.0,22.0,0.0769230769230769,2.0,6.0,3.0,ダ,晴,左,163,2.25,35.9,1400,牝,4,9.0,450,90.0,0.07,0.07,0.07,0.0,10
3,6,3.0,0.0,0.0208333333333334,7.0,5.0,14.0,ダ,晴,左,163,-2.875,39.1,1400,牝,8,66.4,430,32.8571428571429,0.07,0.07,0.07,0.0,8
3,7,3.0,-6.0,0.0632911392405063,3.0,8.0,9.0,ダ,晴,左,163,0.25,38.2,1400,牝,15,253.1,420,0.0,0.07,0.07,0.07,0.0,11
3,8,3.0,12.0,-0.0869565217391304,3.0,11.0,8.0,ダ,晴,左,163,-2.75,38.3,1400,牡,10,79.1,486,0.0,0.07,0.07,0.07,0.0,9
3,9,3.0,-2.0,-0.125,1.0,3.0,,ダ,晴,左,163,0.0,37.7,1400,牡,6,16.5,456,150.0,0.07,0.07,0.07,0.0,4
